#,title,author,category,read?,audio?,language,# Pages,Location,Audible,Chicago?,Cincinnati?,Boston?,Date Bought,Date Read,Time on TBR (days),Time on TBR (years)
,Grapes Of Wrath,John Steinbeck,Classic,No,Yes,English,581,Chicago,Yes,Rec,Yes,Yes,"October 17, 2019",N/A,N/A,N/A
,Fly Girls,Keith O'Brien,History,No,Yes,English,265,Chicago,Yes,Rec,Yes,Yes,"October 17, 2019",N/A,N/A,N/A
,Gone With The Wind,Margaret Mitchell,Classic,No,Yes,English,1024,Chicago,Yes,Rec,Yes,Yes,"October 17, 2019",N/A,N/A,N/A
,The Scarlet Letter,Nathaniel Hawthorne,Classic,No,Yes,English,290,Chicago,Yes,Yes,Yes,Yes,"October 17, 2019",N/A,N/A,N/A
,Equality For Women = Prosperity For All,Augusto Lopez-Claros & Bahiyyih Nakhjavani,Gender Studies,No,Yes,English,253,Chicago,Yes,Rec,Rec,Yes,"January 13, 2020",N/A,N/A,N/A
,The Origin of Species,Charles Darwin,Science,No,Yes,English,384,Chicago,Yes,Rec,Yes,Yes,"February 20, 2020",N/A,N/A,N/A
,A Tale Of Two Cities,Charles Dickens,Classic,No,Yes,English,397,Chicago,Yes,Yes,Yes,Yes,"February 20, 2020",N/A,N/A,N/A
,Che Guevara,Jon Lee Anderson,South American History,No,Yes,English,754,Chicago,Yes,Rec,Rec,Yes,"February 20, 2020",N/A,N/A,N/A
,Seven Skeletons,Lydia Pyne,Anthropology,No,Yes,English,246,Chicago,Yes,Rec,Yes,Yes,"February 20, 2020",N/A,N/A,N/A
1,Dances with Wolves,Michael Blake,Fiction,No,Yes,English,320,Chicago,Yes,Rec,Yes,Yes,"February 20, 2020",N/A,N/A,N/A
,Founder's Son,Richard Brookhiser,Civil War,No,Yes,English,305,Chicago,Yes,Rec,Rec,Yes,"February 20, 2020",N/A,N/A,N/A
,The Man Who Touched His Own Heart,Rob Dunn,Science,No,Yes,English,329,Chicago,Yes,Rec,Rec,Yes,"February 20, 2020",N/A,N/A,N/A
,My Beloved World,Sonia Sotomayor,Memior,No,Yes,English,302,Chicago,Yes,Yes,Yes,Yes,"February 20, 2020",N/A,N/A,N/A
,Schindler's List,Thomas Keneally,Fiction,No,Yes,English,397,Chicago,Yes,Rec,Yes,Yes,"February 20, 2020",N/A,N/A,N/A
,A Confederacy of Dunces,John Kennedy Toole,Classic,No,Yes,English,462,Chicago,Yes,Rec,Yes,Yes,"March 1, 2020",N/A,N/A,N/A
,Devolver Al Remitente,Julia Alvarez,Fiction,No,Yes,Spanish,349,Chicago,Yes,Yes,Rec,Yes,"March 1, 2020",N/A,N/A,N/A
,The Orchid Thief,Susan Orlean,History,No,Yes,English,282,Chicago,Yes,Rec,Yes,Yes,"March 31, 2020",N/A,N/A,N/A
3,The Girl Who Kicked the Hornet's Nest,Stieg Larsson,Fiction,No,Yes,English,563,Chicago,Yes,Yes,Yes,Yes,"April 25, 2020",N/A,N/A,N/A
,The Creative Spark,Agustin Fuentes,Anthropology,No,Yes,English,292,Chicago,Yes!,Rec,Rec,Yes,"July 20, 2020",N/A,N/A,N/A
,Scrappy Little Nobody,Anna Kendrick,Memior,No,Yes,English,271,Chicago,Yes,Yes,Yes,Yes,"July 20, 2020",N/A,N/A,N/A
,Killers of the Flower Moon,David Grann,American History,No,Yes,English,321,Chicago,Yes,Yes,Yes,Yes,"July 20, 2020",N/A,N/A,N/A
,The Catalogue of Shipwrecked Books,Edward Wilson-Lee,History,No,Yes,English,339,Chicago,Yes,Rec,Yes,Yes,"July 20, 2020",N/A,N/A,N/A
,Rosemary,Kate Clifforfd Larson,Biography,No,Yes,English,231,Chicago,Yes!,Yes,Yes,Yes,"July 20, 2020",N/A,N/A,N/A
,Moonglow,Michael Chabon,Fiction,No,Yes,English,430,Chicago,Yes,Yes,Yes,Yes,"July 20, 2020",N/A,N/A,N/A
1,The Tale of Genji vol 1,Murasaki Shikibu,Classic,No,Yes,English,521,Chicago,Yes,Rec,Rec,Yes,"July 20, 2020",N/A,N/A,N/A
2,The Tale of Genji vol 2,Murasaki Shikibu,Classic,No,Yes,English,569,Chicago,Yes,Rec,Rec,Yes,"July 20, 2020",N/A,N/A,N/A
,Catherine the Great,Robert K. Massie,Biography,No,Yes,English,574,Chicago,Yes,Yes,Yes,Yes,"July 20, 2020",N/A,N/A,N/A
,A Long Way Home,Saroo Brierley,Memior,No,Yes,English,273,Chicago,Yes!,Rec,Yes,Yes,"July 20, 2020",N/A,N/A,N/A
,Women's Work,Megan K. Stack,Memior,No,Yes,English,352,Chicago,Yes,Rec,Rec,Yes,"October 1, 2020",N/A,N/A,N/A
,Wuthering Heights,Emily Bronte,Classic,No,Yes,English,334,Chicago,Yes,Rec,Yes,Yes,"October 15, 2020",N/A,N/A,N/A
,Crime And Punishment,Fyodor Dostoevsky,Classic,No,Yes,English,671,Chicago,Yes,Rec,Yes,Yes,"October 15, 2020",N/A,N/A,N/A
,Dreams Of Joy,Lisa See,Fiction,No,Yes,English,354,Chicago,Yes,Yes,Yes,Yes,"October 27, 2020",N/A,N/A,N/A
,Shanghai Girls,Lisa See,Fiction,No,Yes,English,309,Chicago,Yes,Yes,Yes,Yes,"October 27, 2020",N/A,N/A,N/A
11,Prince Lestat,Anne Rice,Fiction,No,Yes,English,451,Chicago,Yes,Yes,Yes,Yes,"November 15, 2020",N/A,N/A,N/A
3,Queen Of The Damned,Anne Rice,Fiction,No,Yes,English,491,Chicago,Yes,Rec,Yes,Yes,"November 15, 2020",N/A,N/A,N/A
2,The Vampire Lestat,Anne Rice,Fiction,No,Yes,English,550,Chicago,Yes,Rec,Yes,Yes,"November 15, 2020",N/A,N/A,N/A
,The Time Traveler's Wife,Audry Niffenegger,Fiction,No,Yes,English,531,Chicago,Yes,Rec,Yes,Yes,"November 15, 2020",N/A,N/A,N/A
,Dreams From My Father,Barack Obama,Memior,No,Yes,English,453,Chicago,Yes,Rec,Yes,Yes,"November 15, 2020",N/A,N/A,N/A
1,The Good Earth,Pearl S. Buck,Fiction,No,Yes,English,418,Chicago,Yes,Rec,Yes,Yes,"January 4, 2021",N/A,N/A,N/A
1,American Gods,Neil Gaiman,Fiction,No,Yes,English,541,Chicago,Yes,Yes,Yes,Yes,"February 20, 2021",N/A,N/A,N/A
,Brain On Fire,Susannah Cahalan,Memior,No,Yes,English,250,Chicago,Yes,Yes,Yes,Yes,"March 23, 2021",N/A,N/A,N/A
,1493,Charels C. Mann,Native Americans,No,Yes,English,521,Chicago,Yes,Yes,Yes,Yes,"May 5, 2021",N/A,N/A,N/A
1,The Three Body Problem,Cixin Liu,Fiction,No,Yes,English,416,Chicago,Yes,Rec,Yes,Yes,"May 5, 2021",N/A,N/A,N/A
,The Bluest Eye,Toni Morrison,Classic,No,Yes,English,206,Chicago,Yes,Yes,Yes,Yes,"May 5, 2021",N/A,N/A,N/A
6,The Dispossessed,Ursula K. Le Guin,Fiction,No,Yes,English,387,Chicago,Yes,Rec,Yes,Yes,"May 5, 2021",N/A,N/A,N/A
,On Gold Mountain,Lisa See,China,No,Yes,English,385,Chicago,Yes,Rec,Yes,Yes,"May 7, 2021",N/A,N/A,N/A
1,The Bone Witch,Rin Chupeco,Fiction,No,Yes,English,425,Chicago,Yes!,Yes,Yes,Yes,"May 13, 2021",N/A,N/A,N/A
,The Art Of Happiness,Dalai Lama & Howard C. Cutler,Religion,No,Yes,English,319,Chicago,Yes,Rec,Yes,Yes,"June 1, 2021",N/A,N/A,N/A
,The Art Of War,Sun Tzu,China,No,Yes,English,128,Chicago,Yes!,Yes,Yes,Yes,"June 1, 2021",N/A,N/A,N/A
5,Tales From Earthsea,Ursula K. Le Guin,Fiction,No,Yes,English,280,Chicago,Yes,Yes,Yes,Yes,"June 1, 2021",N/A,N/A,N/A
,Imagined Communities,Benedict Anderson,Anthropology,No,Yes,English,206,Chicago,Yes,Rec,Rec,Yes,"July 7, 2021",N/A,N/A,N/A
1,Luck in the Shadows,Lynn Flewelling,Fiction,No,Yes,English,479,Chicago,Yes,Rec,Rec,Yes,"July 7, 2021",N/A,N/A,N/A
1,Tiger Eye,Marjorie M. Liu,Fiction,No,Yes,English,373,Chicago,Yes,Rec,Rec,Yes,"July 7, 2021",N/A,N/A,N/A
,A Long Way Gone,Ishmael Beah,Memior,No,Yes,English,218,Chicago,Yes,Rec,Yes,Yes,"July 20, 2021",N/A,N/A,N/A
,Testosterone Rex,Cerdelia Fine,Science,No,Yes,English,195,Chicago,Yes,Rec,Rec,Yes,"September 1, 2021",N/A,N/A,N/A
,From The Ruins of Empire,Pankaj Mishra,History,No,Yes,English,320,Chicago,Yes,Rec,Rec,Yes,"September 1, 2021",N/A,N/A,N/A
,The Children's Blizzard,David Laskin,History,No,Yes,English,271,Chicago,Yes,Yes,Yes,Yes,"November 9, 2021",N/A,N/A,N/A
,Admissions,Henry Marsh,Science,No,Yes,English,270,Chicago,Yes,Rec,Yes,Yes,"November 9, 2021",N/A,N/A,N/A
,In The Heart Of The Sea,Nathaniel Philbrick,History,No,Yes,English,238,Chicago,Yes,Yes,Yes,Yes,"November 9, 2021",N/A,N/A,N/A
,The 1619 Project,Nikole Hannah-Jones,Race Relations,No,Yes,English,480,Chicago,Yes,Yes,Yes,Yes,"November 25, 2021",N/A,N/A,N/A
,Sex With Presidents,Eleanor Herman,American History,No,Yes,English,384,Chicago,Yes,Rec,Rec,Yes,"December 25, 2021",N/A,N/A,N/A
,Below The Edge Of Darkness,Dr. Edith Widder,Science,No,Yes,English,302,Chicago,Yes,Rec,Yes,Yes,"December 28, 2021",N/A,N/A,N/A
3,The Burning God,R.F. Kuang,Fiction,No,Yes,English,614,Chicago,Yes,Yes,Yes,Yes,"December 28, 2021",N/A,N/A,N/A
2,The Dragon Republic,R.F. Kuang,Fiction,No,Yes,English,654,Chicago,Yes,Yes,Yes,Yes,"December 28, 2021",N/A,N/A,N/A
,The Devil's Highway,Luis Alberto Urrea,Modern History,No,Yes,English,235,Chicago,Yes,Rec,Yes,Yes,"March 3, 2022",N/A,N/A,N/A
,Cod,Mark Kurlansky,History,No,Yes,English,233,Chicago,Yes,Rec,Yes,Yes,"March 3, 2022",N/A,N/A,N/A
,The Water Kingdom,Philip Ball,China,No,Yes,English,314,Chicago,Yes,Rec,Rec,Yes,"March 3, 2022",N/A,N/A,N/A
,"The Fork, The Witch, And The Worm",Christopher Paolini,Fiction,No,Yes,English,269,Chicago,Yes,Yes,Yes,Yes,"March 9, 2022",N/A,N/A,N/A
,Room,Emma Donoghue,Fiction,No,Yes,English,321,Chicago,Yes,Yes,Yes,Yes,"March 9, 2022",N/A,N/A,N/A
,The Book Of Longings,Sue Monk Kidd,Fiction,No,Yes,English,407,Chicago,Yes,Yes,Yes,Yes,"March 9, 2022",N/A,N/A,N/A
1,Foundation,Issac Asimov,Fiction,No,Yes,English,244,Chicago,Yes,Rec,Yes,Yes,"March 15, 2022",N/A,N/A,N/A
,The Terror,Dan Simmons,Fiction,No,Yes,English,766,Chicago,Yes,Yes,Yes,Yes,"April 7, 2022",N/A,N/A,N/A
,I Contain Multitudes,Ed Yong,Science,No,Yes,English,264,Chicago,Yes!,Rec,Yes,Yes,"April 7, 2022",N/A,N/A,N/A
,The Samurai's Garden,Gail Tsukiyama,Fiction,No,Yes,English,211,Chicago,Yes,Rec,Yes,Yes,"April 7, 2022",N/A,N/A,N/A
,The Beautiful Ones,Silvia Moreno-Garcia,Fiction,No,Yes,English,292,Chicago,Yes,Yes,Yes,Yes,"April 7, 2022",N/A,N/A,N/A
,Stony The Road,Henry Louis Gates Jr.,Race Relations,No,Yes,English,256,Chicago,Yes,Rec,Yes,Yes,"April 30, 2022",N/A,N/A,N/A
,The Color Of Law,Richard Rothstein,Race Relations,No,Yes,English,217,Chicago,Yes,Rec,Yes,Yes,"April 30, 2022",N/A,N/A,N/A
,The Taker,Alma Katsu,Fiction,No,Yes,English,436,Chicago,Yes,Rec,Yes,Yes,"May 3, 2022",N/A,N/A,N/A
1,Rebel Of The Sands,Alwyn Hamilton,Fiction,No,Yes,English,314,Chicago,Yes,Rec,Yes,Yes,"May 3, 2022",N/A,N/A,N/A
,We Should All Be Feminists,Chimamanda Ngozi Adichie,Gender Studies,No,Yes,English,48,Chicago,Yes,Rec,Yes,Yes,"May 3, 2022",N/A,N/A,N/A
1,Raybearer,Jordan Ifueko,Fiction,No,Yes,English,343,Chicago,Yes,Rec,Yes,Yes,"May 3, 2022",N/A,N/A,N/A
1,Flower Net,Lisa See,Fiction,No,Yes,English,333,Chicago,Yes,Rec,Rec,Yes,"May 3, 2022",N/A,N/A,N/A
3,Dragon Bones,Lisa See,Fiction,No,Yes,English,343,Chicago,Yes,Rec,Yes,Yes,"May 3, 2022",N/A,N/A,N/A
2,The Interior,Lisa See,Fiction,No,Yes,English,388,Chicago,Yes,Rec,Yes,Yes,"May 3, 2022",N/A,N/A,N/A
,Imperial Woman,Pearl S. Buck,Fiction,No,Yes,English,376,Chicago,Yes,Rec,Yes,Yes,"May 3, 2022",N/A,N/A,N/A
,The Bonesetter's Daughter,Amy Tan,Fiction,No,Yes,English,353,Chicago,Yes,Rec,Yes,Yes,"May 6, 2022",N/A,N/A,N/A
1,A Memory Called Empire,Arkady Martine,Fiction,No,Yes,English,448,Chicago,Yes,Rec,Yes,Yes,"May 6, 2022",N/A,N/A,N/A
,Dial A For Aunties,Jesse Q. Sutanto,Fiction,No,Yes,English,295,Chicago,Yes,Yes,Yes,Yes,"May 6, 2022",N/A,N/A,N/A
1,Black Leopard Red Wolf,Marlon James,Fiction,No,Yes,English,620,Chicago,Yes,Yes,Yes,Yes,"May 6, 2022",N/A,N/A,N/A
,Under A Painted Sky,Stacey Lee,Fiction,No,Yes,English,370,Chicago,Yes,Rec,Yes,Yes,"May 6, 2022",N/A,N/A,N/A
,All That She Carried,Tiya Miles,Race Relations,No,Yes,English,304,Chicago,Yes,Yes,Yes,Yes,"May 6, 2022",N/A,N/A,N/A
,"Detransition, Baby",Torrey Peters,Fiction,No,Yes,English,335,Chicago,Yes,Rec,Yes,Yes,"May 6, 2022",N/A,N/A,N/A
,Where The Crawdads Sing,Delia Owens,Fiction,Yes,Yes,English,368,Chicago,Yes,Yes,Yes,Yes,"May 18, 2022","October 22, 2022",157,0.4301369863
,The Dictionary Of Lost Words,Pip Williams,Fiction,No,Yes,English,359,Chicago,Yes,Yes,Yes,Yes,"May 18, 2022",N/A,N/A,N/A
,The Lathe Of Heaven,Ursula K. Le Guin,Fiction,No,Yes,English,184,Chicago,Yes,Rec,Rec,Yes,"May 18, 2022",N/A,N/A,N/A
1,Jade City,Fonda Lee,Fiction,No,Yes,English,495,Chicago,Yes,Rec,Yes,Yes,"May 23, 2022",N/A,N/A,N/A
1,The Jasmine Throne,Tasha Suri,Fiction,No,Yes,English,533,Chicago,Yes,Yes,Yes,Yes,"May 23, 2022",N/A,N/A,N/A
1,The Henna Artist,Alka Joshi,Fiction,No,Yes,English,342,Chicago,Yes,Yes,Yes,Yes,"May 29, 2022",N/A,N/A,N/A
1,Spin The Dawn,Elizabeth Lim,Fiction,No,Yes,English,387,Chicago,Yes,Rec,Yes,Yes,"May 29, 2022",N/A,N/A,N/A
1,Malice,Heather Walter,Fiction,No,Yes,English,464,Chicago,Yes,Rec,Yes,Yes,"May 29, 2022",N/A,N/A,N/A
1,Neon Gods,Katee Robert,Fiction,No,Yes,English,377,Chicago,Yes,Rec,Yes,Yes,"May 29, 2022",N/A,N/A,N/A
1,The City Of Brass,S.A. Chakraborty,Fiction,No,Yes,English,526,Chicago,Yes,Rec,Yes,Yes,"May 29, 2022",N/A,N/A,N/A
,"Big Sister, Little Sister, Red Sister",Jung Chang,China,No,Yes,English,316,Chicago,Yes,Rec,Yes,Yes,"May 31, 2022",N/A,N/A,N/A
1,The Fifth Season,N.K. Jemisin,Fiction,No,Yes,English,449,Chicago,Yes,Yes,Yes,Yes,"May 31, 2022",N/A,N/A,N/A
,The Chosen And The Beautiful,Nghi Vo,Fiction,No,Yes,English,260,Chicago,Yes,Rec,Yes,Yes,"May 31, 2022",N/A,N/A,N/A
,The Golden Thread,Kassia St. Clair,History,No,Yes,English,294,Chicago,Yes,Rec,Yes,Yes,"June 2, 2022",N/A,N/A,N/A
,Disability Visibility,Alice Wong,History,No,Yes,English,275,Chicago,Yes,Rec,Yes,Yes,"June 7, 2022",N/A,N/A,N/A
,The Last Night At The Telegraph Club,Malinda Lo,Fiction,No,Yes,English,394,Chicago,Yes,Yes,Yes,Yes,"June 7, 2022",N/A,N/A,N/A
,Lavinia,Ursula K. Le Guin,Fiction,No,Yes,English,279,Chicago,Yes,Rec,Yes,Yes,"June 7, 2022",N/A,N/A,N/A
,To Paradise,Hanya Yanagihara,Fiction,No,Yes,English,704,Chicago,Yes,Yes,Yes,Yes,"June 9, 2022",N/A,N/A,N/A
,Between The World And Me,Ta-Nehisi Coates,Race Relations,No,Yes,English,152,Chicago,Yes,Yes,Yes,Yes,"June 18, 2022",N/A,N/A,N/A
1,Wicked Fox,Nat Cho,Fiction,No,Yes,English,420,Chicago,Yes,Rec,Yes,Yes,"June 27, 2022",N/A,N/A,N/A
1,Crown Of Feathers,Nicki Pau Preto,Fiction,No,Yes,English,477,Chicago,Yes,Yes,Yes,Yes,"June 27, 2022",N/A,N/A,N/A
,Phoenix Extravagant,Yoon Ha Lee,Fiction,No,Yes,English,353,Chicago,Yes,Rec,Yes,Yes,"June 27, 2022",N/A,N/A,N/A
,The Dew Breaker,Edwidge Danticat,Fiction,No,Yes,English,242,Chicago,Yes,Rec,Rec,Yes,"July 2, 2022",N/A,N/A,N/A
,Never Caught,Erica Armstrong Dunbar,American History,No,Yes,English,197,Chicago,Yes,Rec,Yes,Yes,"July 2, 2022",N/A,N/A,N/A
,In Small Things Forgotten,James Deetz,Anthropology,No,Yes,English,260,Chicago,Yes,Rec,Rec,Yes,"July 2, 2022",N/A,N/A,N/A
,The Magus,John Fowles,Fiction,No,Yes,English,668,Chicago,Yes,Rec,Yes,Yes,"July 2, 2022",N/A,N/A,N/A
1,The City We Became,N.K. Jemisin,Fiction,No,Yes,English,434,Chicago,Yes,Yes,Yes,Yes,"July 2, 2022",N/A,N/A,N/A
,The Instant Economist,Tim Taylor,Business,No,Yes,English,250,Chicago,Yes,Rec,Rec,Yes,"July 2, 2022",N/A,N/A,N/A
,A History Of The World In 6 Glasses,Tom Standage,History,No,Yes,English,274,Chicago,Yes,Rec,Yes,Yes,"July 2, 2022",N/A,N/A,N/A
,The Map Of Salt And Stars,Zeyn Joukhadar,Fiction,No,Yes,English,352,Boston,Yes,Rec,Yes,Yes,"July 2, 2022",N/A,N/A,N/A
,This Is How You Lose The Time War,Amal El-Mohar & Max Gladstone,Fiction,No,Yes,English,198,Chicago,Yes,Yes,Yes,Yes,"July 3, 2022",N/A,N/A,N/A
1,The Unbroken,C.L. Clark,Fiction,No,Yes,English,486,Chicago,Yes,Rec,Yes,Yes,"July 3, 2022",N/A,N/A,N/A
,The Crooked Path To Abolition,James Oakes,Civil War,Yes,Yes,English,204,Chicago,Yes,Rec,Yes,Yes,"July 3, 2022","October 31, 2022",120,0.3287671233
1,Son Of The Storm,Suyi Davies Okungbowa,Fiction,No,Yes,English,446,Chicago,Yes,Rec,Yes,Yes,"July 3, 2022",N/A,N/A,N/A
,Strange Beasts Of China,Yan Ge,Fiction,No,Yes,English,232,Chicago,Yes,Rec,Yes,Yes,"July 3, 2022",N/A,N/A,N/A
,A Lady For A Duke,Alexis Hall,Fiction,No,Yes,English,449,Boston,Yes,Rec,Yes,Yes,"July 13, 2022",N/A,N/A,N/A
,Master Of Poisons,Andrea Hairston,Fiction,No,Yes,English,507,Chicago,Yes,Rec,Yes,Yes,"July 13, 2022",N/A,N/A,N/A
,Different,Frans de Waal,Gender Studies,No,Yes,English,317,Chicago,Yes,Rec,Rec,Yes,"July 13, 2022",N/A,N/A,N/A
,Rogues,Patrick Radden Keefe,History,No,Yes,English,344,Boston,Yes,Yes,Yes,Yes,"July 13, 2022",N/A,N/A,N/A
,Black Water Sister,Zen Cho,Fiction,No,Yes,English,367,Boston,Yes,Rec,Yes,Yes,"July 13, 2022",N/A,N/A,N/A
1,Gilded,Marissa Meyer,Fiction,No,Yes,English,500,Boston,Yes,Yes,Yes,Yes,"July 18, 2022",N/A,N/A,N/A
,The New Jim Crow,Michelle Alexander,Race Relations,No,Yes,English,261,Chicago,Yes,Yes,Yes,Yes,"July 18, 2022",N/A,N/A,N/A
,The Paper Menagerie,Ken Liu,Fiction,No,Yes,English,450,Boston,Yes,Rec,Yes,Yes,"July 23, 2022",N/A,N/A,N/A
,Half Of A Yellow Sun,Chimamanda Ngozi Adichie,Fiction,No,Yes,English,433,Chicago,Yes,Yes,Yes,Yes,"July 28, 2022",N/A,N/A,N/A
1,Crank,Ellen Hopkins,Fiction,No,Yes,English,537,Chicago,Yes,Yes,Yes,Yes,"July 28, 2022",N/A,N/A,N/A
,The Phantom Of The Opera,Gaston Leroux,Classic,No,Yes,English,270,Chicago,Yes,Rec,Yes,Yes,"July 28, 2022",N/A,N/A,N/A
,And The Mountains Echoed,Khaled Hosseini,Fiction,No,Yes,English,402,Chicago,Yes,Rec,Yes,Yes,"July 28, 2022",N/A,N/A,N/A
,The Man Who Loved China,Simon Winchester,China,No,Yes,English,265,Chicago,Yes,Rec,Yes,Yes,"July 28, 2022",N/A,N/A,N/A
,Black Earth,Timothy Snyder,WWII,No,Yes,English,344,Chicago,Yes,Rec,Yes,Yes,"July 28, 2022",N/A,N/A,N/A
,Once There Were Wolves,Charlotte McConaghy,Fiction,Yes,Yes,English,256,Boston,Yes,Yes,Yes,Yes,"July 30, 2022","October 22, 2022",84,0.2301369863
,Teacher Man,Frank McCourt,Teaching,No,Yes,English,258,Boston,Yes,Rec,Yes,Yes,"July 30, 2022",N/A,N/A,N/A
,Three Cups Of Tea,Greg Mortenson & David Oliver Relin,Memior,No,Yes,English,332,Chicago,Yes,Rec,Yes,Yes,"July 30, 2022",N/A,N/A,N/A
,These Truths,Jill Lepore,American History,No,Yes,English,789,Chicago,Yes,Rec,Yes,Yes,"July 30, 2022",N/A,N/A,N/A
,One Thousand White Women,Jim Fergus,Fiction,No,Yes,English,302,Boston,Yes,Rec,Yes,Yes,"July 30, 2022",N/A,N/A,N/A
,The Invention Of Wings,Sue Monk Kidd,Fiction,No,Yes,English,359,Chicago,Yes,Rec,Yes,Yes,"July 30, 2022",N/A,N/A,N/A
,King Lear,William Shakespeare,Play,No,Yes,English,261,Chicago,Yes,Rec,Yes,Yes,"July 30, 2022",N/A,N/A,N/A
,The Long Way To A Small Angry Planet,Becky Chambers,Fiction,No,Yes,English,438,Boston,Yes,Rec,Yes,Yes,"August 4, 2022",N/A,N/A,N/A
,The Tombs Of Atuan,Ursula K. Le Guin,Fiction,No,Yes,English,212,Boston,Yes,Yes,Yes,Yes,"August 20, 2022",N/A,N/A,N/A
0,The Hobbit,J.R.R. Tolkin,Fiction,No,Yes,English,305,Boston,Yes,Yes,Yes,Yes,"August 23, 2022",N/A,N/A,N/A
1,The Fellowship Of The Ring,J.R.R. Tolkin,Fiction,No,Yes,English,458,Boston,Yes,Yes,Yes,Yes,"August 23, 2022",N/A,N/A,N/A
2,The Two Towers,J.R.R. Tolkin,Fiction,No,Yes,English,398,Boston,Yes,Yes,Yes,Yes,"August 23, 2022",N/A,N/A,N/A
3,The Return Of The King,J.R.R. Tolkin,Fiction,No,Yes,English,340,Boston,Yes,Yes,Yes,Yes,"August 23, 2022",N/A,N/A,N/A
1,The Rise Of Kyoshi,F.C. Lee,Fiction,No,Yes,English,442,Chicago,Yes,Yes,Yes,Yes,"September 1, 2022",N/A,N/A,N/A
,In Deeper Waters,F.T. Lukens,Fiction,No,Yes,English,303,Chicago,Yes,Rec,Yes,Yes,"September 1, 2022",N/A,N/A,N/A
,A Long Walk To Water,Linda Sue Park,Fiction,No,Yes,English,117,Boston,Yes,Yes,Yes,Yes,"September 2, 2022",N/A,N/A,N/A
,A Thousand Steps Into Night,Traci Chee,Fiction,No,Yes,English,370,Boston,Yes,Rec,Rec,Yes,"September 6, 2022",N/A,N/A,N/A
1,The Empress Of Salt And Fortune,Nghi Vo,Fiction,No,Yes,English,118,Boston,Yes,Rec,Yes,Yes,"September 7, 2022",N/A,N/A,N/A
,Covered With Night,Nicole Eustace,Native Americans,No,Yes,English,337,Boston,Yes,Yes,Yes,Yes,"September 7, 2022",N/A,N/A,N/A
,An Afro-Indigenous History Of The United States,Kyle T. Mays,American History,No,Yes,English,192,Boston,Yes,Rec,Yes,Yes,"September 7, 2022",N/A,N/A,N/A
1,Binti,Nnedi Okorafor,Fiction,No,Yes,English,90,Boston,Yes,Yes,Yes,Yes,"September 8, 2022",N/A,N/A,N/A
3,Nona The Ninth,Tamsyn Muir,Fiction,No,Yes,English,477,Boston,Yes,Rec,Yes,Yes,"September 13, 2022",N/A,N/A,N/A
3,The Dawn Of Yangchen,F.C. Lee,Fiction,No,Yes,English,324,Boston,Yes,Rec,Yes,Yes,"September 17, 2022",N/A,N/A,N/A
,The Sum Of Us,Heather Mcghee,Race Relations,No,Yes,English,285,Boston,Yes,Yes,Yes,Yes,"October 1, 2022",N/A,N/A,N/A
5,Foundation And Earth,Issac Asimov,Fiction,No,Yes,English,411,Boston,Yes,Rec,Yes,Yes,"October 5, 2022",N/A,N/A,N/A
1,Parable Of The Sower,Octavia E. Butler,Fiction,No,Yes,English,329,Boston,Yes,Rec,Yes,Yes,"October 5, 2022",N/A,N/A,N/A
,What Moves The Dead,T. Kingfisher,Fiction,Yes,Yes,English,158,Boston,Yes,Yes,Yes,Yes,"October 5, 2022","October 31, 2022",26,0.07123287671
,Good Omens,Terry Pratchett & Neil Gaiman,Fiction,No,Yes,English,474,Boston,Yes,Yes,Yes,Yes,"October 5, 2022",N/A,N/A,N/A
,Lore,Alexandra Bracken,Fiction,No,Yes,English,466,Boston,Yes,Rec,Yes,Yes,"October 10, 2022",N/A,N/A,N/A
,The Love Songs of W.E.B. Du Bois,Honorée Fanonne Jeffers,Fiction,No,Yes,English,790,Boston,Yes,Yes,Yes,Yes,"October 10, 2022",N/A,N/A,N/A
4,Foundation's Edge,Issac Asimov,Fiction,No,Yes,English,377,Boston,Yes,Rec,Yes,Yes,"October 10, 2022",N/A,N/A,N/A
,The Anomaly,Hervé Le Tellier,Fiction,No,Yes,English,391,Boston,Yes,Yes,Yes,Yes,"October 10, 2022",N/A,N/A,N/A
,"Girl, Woman, Other",Bernardine Evaristo,Fiction,No,Yes,English,452,Boston,Yes,Rec,Yes,Yes,"October 10, 2022",N/A,N/A,N/A
,Hamnet,Maggie O'Farrell,Fiction,No,Yes,English,305,Boston,Yes,Yes,Yes,Yes,"October 10, 2022",N/A,N/A,N/A
,The Genesis of Misery,Neon Yang,Fiction,No,Yes,English,417,Boston,Yes,Rec,Yes,Yes,"October 18, 2022",N/A,N/A,N/A
,Prince Albert,A.N. Wilson,Biography,No,Yes,English,390,Chicago,Yes,Rec,Rec,Yes,,N/A,N/A,N/A
,Imbeciles,Adam Cohen,Science,No,Yes,English,323,Chicago,Yes,Rec,Yes,Yes,,N/A,N/A,N/A
,Complications,Atul Gawande,Science,No,Yes,English,252,Chicago,Yes,Rec,Yes,Yes,,N/A,N/A,N/A
,Horizon,Barry Lopez,History,No,Yes,English,512,Chicago,Yes,Rec,Yes,Yes,,N/A,N/A,N/A
,The Plague Cycle,Charles Kenny,Science,No,Yes,English,237,Boston,Yes,Rec,Yes,Yes,,N/A,N/A,N/A
,To Hold Up The Sky,Cixin Liu,Fiction,No,Yes,English,334,Chicago,Yes,Rec,Yes,Yes,,N/A,N/A,N/A
